
,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,User_Name,User_img,User_url,Challange_Name,Programming_Lang,Sol_Code,User_Score,User's_Comments,User_Gender
0,0,0,0,0,TomGo,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/TomGo.jpg,/profile/TomGo,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    String N = strArr[0];
    String K = strArr[1];
    int min = Integer.MAX_VALUE;
    String result = """";
    for (int i = 0; i < N.length(); i++) {
        StringBuilder match = new StringBuilder(K);
        for (int j=i; j < N.length(); j++) {
            if (match.toString().contains(String.valueOf(N.charAt(j)))) {
                int index = match.indexOf(String.valueOf(N.charAt(j)));
                match.replace(index, index + 1, """");
            }

            if (match.length() == 0) {
                if (j - i < min) {
                    min = j - i;
                    result = N.substring(i, j+1);
                }
                break;
            }
        }
    }

        return result;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",10,5,Male
1,1,1,1,1,jgrier,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/jgrier.jpg,/profile/jgrier,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    // code goes here
    String n = strArr[0];
    String k = strArr[1];
    String shortest = n;
    for(int i=0; i<n.length(); i++){
      for(int j=i+1; j<=n.length(); j++){
        String substring = n.substring(i, j);
        if(containsAll(substring, k)){
          if(substring.length() < shortest.length()){
            shortest = substring;
          }
        }
      }
    }  
    return shortest;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

  private static boolean containsAll(String n, String k){
    for(int i=0; i<k.length(); i++){
      int pos = n.indexOf(k.charAt(i));
      if(pos == -1) return false;
      n = remove(n, pos);
    }
    return true;
  }

  private static String remove(String n, int pos) {
    return n.substring(0, pos) + n.substring(pos+1, n.length());
  }
}

// for each starting position
// scan right stopping when all characters are seen and note length
// could remove character as it's matched",10,0,
2,2,2,2,2,buddhaben,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/buddhaben.jpg,/profile/buddhaben,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr)
  {
    StringBuilder result = new StringBuilder(strArr[0]);
    StringBuilder temp = new StringBuilder();

    String n =  strArr[0];
    List<String> kList = Arrays.asList(strArr[1].split(""""));
    List<String> recordList = new ArrayList<>(kList);

    for (int i = 0; i < n.length(); i++)
    {
      for (int j = i; j < n.length(); j++)
      {
        temp.append(n.substring(j,j+1));

        if (recordList.contains(n.substring(j,j+1)))
        {
          recordList.remove(n.substring(j, j+1));
        }

        if(recordList.isEmpty())
        {
          if (temp.length() < result.length())
          {
            result = new StringBuilder(temp.toString());
          }

          break;
        }
      }

      //Reset string buffer and kSet
      temp.setLength(0);
      recordList.clear();
      recordList.addAll(kList);
    }
    return result.toString();
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",9,0,Male
3,3,3,3,3,dumel20,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/dumel20.jpg,/profile/dumel20,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    // code goes here 

    String N = strArr[0];
     String K = strArr[1];
  int counter=0;
    Map<Character,Integer> map= getCharacterMap(K);
    for(int i=0; i<N.length()-K.length();i++){
      for(int j=0;j<N.length()-K.length()-i+1;j++){
         String sub=N.substring(j,j+i+K.length());
           Map<Character,Integer> cmap= getCharacterMap(sub);
           for(Map.Entry<Character,Integer> entry: map.entrySet()){
             for(Map.Entry<Character,Integer> entry2: cmap.entrySet()){
               if(entry.getKey().equals(entry2.getKey())){
                 if(entry.getValue() <= entry2.getValue()) counter++;
               }
             }
           }

         if(counter==map.keySet().size()) return sub;
        counter =0;
      }
      

    }

    return strArr[0];
  }

  private static Map<Character,Integer> getCharacterMap(String s){
    Map<Character,Integer> map = new LinkedHashMap<>();
    for(char c : s.toCharArray()){
      if(!map.containsKey(c)) map.put(c,1);
      else map.put(c, map.get(c) +1);
    }
    return map;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",10,0,
4,4,4,4,4,sameerkhan2k1,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/sameerkhan2k1.jpg,/profile/sameerkhan2k1,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] s) {
    char[] a = new char[26];
    String m = s[0];
    int l = s[1].length();

    for (int x: s[1].getBytes())
          a[x - 'a']++;

    for (int i = 0; i < s[0].length(); i++) {
      for (int j = i; j <= s[0].length() - l; j++) {
        String r = s[0].substring(i, j + l);

        char[] b = new char[26];
        for (int x: r.getBytes())
          b[x - 'a']++;

        int k = 0;
        while (k < 26 && b[k] >= a[k++]);

        // System.out.println(k + "" "" + r);
        if (k == 26 && m.length() > r.length()) {
          m = r;
          // System.out.println(r + "" ////"");
        }
      }
    }

    return m;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",9,0,Male
5,5,5,5,5,Akkijay,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Akkijay.jpg,/profile/Akkijay,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    // code goes here  
    String searchable = strArr[0];
    String searched = strArr[1];
    String smallest = """";
    char[] tmpChar = searched.toCharArray();
    for (int i = 0; i <searchable.length();i++) {
      for (int j =tmpChar.length-1+i; j<searchable.length();j++) {
        String temp = searchable.substring(i,j+1);
        if (allIn(temp,tmpChar)) {
          if (smallest.equals("""")){
            smallest=temp;
          }
          if (smallest.length() > temp.length()) {
            smallest = temp;
          };
        }
      }

    }
    return smallest;
  }

    public static boolean allIn(String tmp,char[] tmpChar) {
    for (int i=0; i<tmpChar.length; i++) {
      if (!tmp.contains(""""+tmpChar[i])) {  
        return false;
      } else {
        tmp = tmp.replaceFirst(""""+tmpChar[i],"""");      
      }
    }
    return true;
  }


  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",9,0,
6,6,6,6,6,sviveka,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/sviveka.jpg,/profile/sviveka,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    String searchable = strArr[0];
    String searched = strArr[1];
    String smallest="""";
    char[] tempy = searched.toCharArray();
    for (int i = 0; i <searchable.length();i++) {
      for (int j =tempy.length-1+i; j<searchable.length();j++) {
        String temp = searchable.substring(i,j+1);
        //System.out.println(temp);
        if (allIn(temp,tempy)) {
          //System.out.println(""Found : :""+ temp);
          if (smallest.equals("""")){
            smallest=temp;
          }
          if (smallest.length() > temp.length()) {
            smallest = temp;
          };
        }
      }

    }
    // code goes here  
    return smallest;
  }

  public static boolean allIn(String temp,char[] tempy) {
    for (int i=0; i<tempy.length; i++) {
      if (!temp.contains(""""+tempy[i])) {  
       
        return false;
      } else {
        temp = temp.replaceFirst(""""+tempy[i],"""");
        //System.out.println(temp);
        
      }
    }
   // System.out.println(temp);
    return true;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",10,0,
7,7,7,7,7,puerto,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/puerto.jpg,/profile/puerto,Min Window Substring,Java,"import java.util.*; 
import java.io.*;
import java.util.stream.Collectors;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    LinkedHashMap<Integer,ArrayList<Character>> hm = new LinkedHashMap<Integer,ArrayList<Character>>();
    char[] char0Arr = strArr[0].toCharArray();
    char[] char1Arr = strArr[1].toCharArray();
    for(int i=0; i < char0Arr.length; i++) {
      for(int j=0; j < char1Arr.length; j++) {
        if(char0Arr[i] == char1Arr[j] && i <= char0Arr.length - char1Arr.length) 
        {
          List<Character> alk = strArr[1].chars().mapToObj((k) -> Character.valueOf((char)k)).collect(Collectors.toList());
          ArrayList<Character> alc = startCountDown(Arrays.copyOfRange(char0Arr,i,char0Arr.length), alk);
          if(alc.size() > 0 && hm.get(0) == null) {
            hm.put(0,alc);
          }
          if(alc.size() < hm.get(0).size() && alc.size() > 0)
          {
            hm.put(0,alc);
          }
        }
      }
    }

    StringBuilder sb = new StringBuilder();
    for(Character c : hm.get(0))
    {
      sb.append(c.toString());
    }

    return sb.toString();
  }

  public static ArrayList<Character> startCountDown(char[] char0Arr, List<Character> alk)
  {
    ArrayList<Character> alc = new ArrayList<Character>();
    ArrayList<Character> alcempty = new ArrayList<Character>();
    int initialSize = alk.size();
    int countdown = alk.size();
    for(int i=0; i < char0Arr.length; i++) {
      if(alk.size() > 0 && countdown !=0) 
      {
        alc.add(char0Arr[i]);
      }
      if(countdown == 0 && alc.size() >= initialSize)
      {
          return alc;
      }            
      for(int j=0; j < alk.size(); j++) {    
        if(alc.size() == 0 && char0Arr[i] == alk.get(j) && countdown > 0)
        {   
          alc.add(char0Arr[i]);
          alk.remove(j); 
          countdown--;
          break;
        }
        if(char0Arr[i] == alk.get(j) && countdown > 0)
        {
          alk.remove(j); 
          countdown--;
          if(i==char0Arr.length-1 && countdown == 0)
          return alc;
          else
          break;
        }
      }
    }
    return alcempty;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }
}",9,0,
8,8,8,8,8,chungl,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/chungl.jpg,/profile/chungl,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
   static int mstart = 0;
    static int mend = Integer.MAX_VALUE;

    public static String MinWindowSubstring(String[] strArr) {

        if (strArr[0].length() < strArr[1].length()) return """";

        char[] a = strArr[0].toCharArray();

        HashMap<Character, Integer> chars = new HashMap<Character, Integer>();
        for (int i = 0; i < strArr[1].length(); i++) {
            char c = strArr[1].charAt(i);
            if (chars.containsKey(c)) {
                chars.put(c, chars.get(c) - 1);
            } else {
                chars.put(c, - 1);
            }
        }

        for (int i = 0; i < a.length; i++) {
            if (chars.containsKey(a[i])) {
                chars.put(a[i], chars.get(a[i]) + 1);
            }
        }
        mend = strArr[0].length() - 1;

        checkWindow(a, 0, a.length - 1, chars, strArr[1].length());

        return strArr[0].substring(mstart, mend + 1);

    }

    static void checkWindow(char[] a, int start, int end, HashMap<Character, Integer> chars, int length){
        update(start, end);
        while (end - start + 1 > length) {
            char cs = a[start];
            char ce = a[end];

            if (!chars.containsKey(cs)) {
                start++;
                update(start, end);
                continue;
            }
            if (!chars.containsKey(ce)) {
                end--;
                update(start, end);
                continue;
            }
            break;
        }

        char cs = a[start];
        if (chars.containsKey(cs)) {
            int num = chars.get(cs);
            if (num > 0) {
                HashMap<Character, Integer> hm = new HashMap<Character, Integer>(chars);
                hm.put(cs, num -1);
                checkWindow(a, start+1, end, hm, length);
            }
        }

        char ce = a[end];
        if (chars.containsKey(ce)) {
            int num = chars.get(ce);
            if (num > 0) {
                HashMap<Character, Integer> hm = new HashMap<Character, Integer>(chars);
                hm.put(ce, num -1);
                checkWindow(a, start, end -1, hm, length);
            }
        }
    }

    static void update(int start, int end)
    {
        if (end -start < mend - mstart) {
            mend = end;
            mstart = start;
        }
    }
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }   
  
}",9,0,
9,9,9,9,9,mkoehler,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/mkoehler.jpg,/profile/mkoehler,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
  public static String MinWindowSubstring(String[] strArr) { 
  
    // code goes here   
    /* Note: In Java the return type of a function and the 
       parameter types being passed are defined, so this return 
       call must match the return type of the function.
       You are free to modify the return type. */
    
    String N = strArr[0];
    String K = strArr[1];

    // create a map for all characters in K
    Map<Character, Integer> kMap = new HashMap<>();
    for(Character c : K.toCharArray()){
        kMap.put(c, kMap.containsKey(c) ? kMap.get(c) + 1 : 1);
    }
    
    String shortestMatch = N + """";
    // iterate over all substrings of N
    for(int i=0; i<N.length(); i++){
        subStringLoop: for(int j=i; j<N.length(); j++){
            String substring = N.substring(i, j+1);
            // create a map for all characters in substring
            Map<Character, Integer> subMap = new HashMap<>();
            for(Character c : substring.toCharArray()){
                subMap.put(c, subMap.containsKey(c) ? subMap.get(c) + 1 : 1);
            }
            // Now verify that all characters in K occur in substring
            for(Map.Entry<Character, Integer> entry : kMap.entrySet()){
                if(!subMap.containsKey(entry.getKey()) || entry.getValue() > subMap.get(entry.getKey())){
                    continue subStringLoop; // not a valid match
                }
            }
            if(shortestMatch.length() > substring.length()){
                shortestMatch = substring;
            }
        }
    }
       
    return shortestMatch;
    
  }
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }   
  
}",10,0,
