,User_Name,User_img,User_url,Challange_Name,Programming_Lang,Sol_Code,User_Score,User's_Comments,User_Gender,Comments,Conditions,For,While,do ... while,Func dec,Varibales Dec,Pointers,Comments length,code length,Variables Names
0,TomGo,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/TomGo.jpg,/profile/TomGo,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    String N = strArr[0];
    String K = strArr[1];
    int min = Integer.MAX_VALUE;
    String result = """";
    for (int i = 0; i < N.length(); i++) {
        StringBuilder match = new StringBuilder(K);
        for (int j=i; j < N.length(); j++) {
            if (match.toString().contains(String.valueOf(N.charAt(j)))) {
                int index = match.indexOf(String.valueOf(N.charAt(j)));
                match.replace(index, index + 1, """");
            }

            if (match.length() == 0) {
                if (j - i < min) {
                    min = j - i;
                    result = N.substring(i, j+1);
                }
                break;
            }
        }
    }

        return result;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",10,5,Male,1,3,2,0,0,1,7,0,2,113,"'N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index''N''K''min''result''match', 'match''index'"
2,buddhaben,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/buddhaben.jpg,/profile/buddhaben,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr)
  {
    StringBuilder result = new StringBuilder(strArr[0]);
    StringBuilder temp = new StringBuilder();

    String n =  strArr[0];
    List<String> kList = Arrays.asList(strArr[1].split(""""));
    List<String> recordList = new ArrayList<>(kList);

    for (int i = 0; i < n.length(); i++)
    {
      for (int j = i; j < n.length(); j++)
      {
        temp.append(n.substring(j,j+1));

        if (recordList.contains(n.substring(j,j+1)))
        {
          recordList.remove(n.substring(j, j+1));
        }

        if(recordList.isEmpty())
        {
          if (temp.length() < result.length())
          {
            result = new StringBuilder(temp.toString());
          }

          break;
        }
      }

      //Reset string buffer and kSet
      temp.setLength(0);
      recordList.clear();
      recordList.addAll(kList);
    }
    return result.toString();
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",9,0,Male,2,4,2,0,0,1,6,0,1,110,"'result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result''result', 'result''temp', 'temp''n''result'"
4,sameerkhan2k1,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/sameerkhan2k1.jpg,/profile/sameerkhan2k1,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] s) {
    char[] a = new char[26];
    String m = s[0];
    int l = s[1].length();

    for (int x: s[1].getBytes())
          a[x - 'a']++;

    for (int i = 0; i < s[0].length(); i++) {
      for (int j = i; j <= s[0].length() - l; j++) {
        String r = s[0].substring(i, j + l);

        char[] b = new char[26];
        for (int x: r.getBytes())
          b[x - 'a']++;

        int k = 0;
        while (k < 26 && b[k] >= a[k++]);

        // System.out.println(k + "" "" + r);
        if (k == 26 && m.length() > r.length()) {
          m = r;
          // System.out.println(r + "" ////"");
        }
      }
    }

    return m;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",9,0,Male,4,1,4,1,0,1,8,0,2,135,"'a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k''a', 'a''m''l''r''b', 'b''k'"
10,moe123,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/moe123.jpg,/profile/moe123,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
    
    static int[] fr = new int[26], fr2 = new int[26];
    public static boolean good() {
        for (int i = 0; i < 26; ++i) {
            if (fr2[i]!= 0 && fr[i] < fr2[i]) {
                return false;
            }
        }
        return true;
    }
  public static String MinWindowSubstring(String[] strArr) { 
  
    String s1 = strArr[0], s2 = strArr[1];
    int n = s1.length(), m = s2.length();
    for (int i = 0; i < m; ++i) {
        fr2[s2.charAt(i)-'a']++;
    }
    int i = 0, j = 0, idx1 = 0, idx2 = 0, mn = (int)1e9;
    for (j = 0; j < n; ++j) {
        fr[s1.charAt(j)-'a']++;
        while (good() && i <= j) {
            if (j-i < mn) {
                mn = j-i;
                idx1 = i;
                idx2 = j;
            }
            fr[s1.charAt(i)-'a']--;
            i++;
        }
    }
    return s1.substring(idx1, idx2+1);
    // code goes here   
    /* Note: In Java the return type of a function and the 
       parameter types being passed are defined, so this return 
       call must match the return type of the function.
       You are free to modify the return type. */
       

    
  } 
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }   
  
}",9,0,Female,3,2,3,1,0,6,15,0,8,191,"'fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn''fr', 'fr2', 'fr', 'fr2', 'fr', 'fr2''s1', 's2''n', 'm''i', 'j', 'idx1', 'idx2', 'mn'"
12,user60612276,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/user60612276.jpg,/profile/user60612276,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
    public static String minWindowSubstring(String[] strArr) {
        int[] requiredCounts = findLetterCounts(strArr[1]);
        int nonZeroCounts = (int) Arrays.stream(requiredCounts).filter(c -> c > 0).count();

        int minLen = Integer.MAX_VALUE;
        int start = 0;

        for (int i = 0; i < strArr[0].length(); i++) {
            int[] requiredCountsClone = Arrays.copyOf(requiredCounts, requiredCounts.length);
            int result = findRequiredLength(strArr[0], i, requiredCountsClone, nonZeroCounts);

            if (result > -1 && result < minLen) {
                minLen = result;
                start = i;
            }
        }

        return strArr[0].substring(start, start + minLen);
    }

    static int[] findLetterCounts(String str) {
        int[] result = new int[26];

        for (int i = 0; i < str.length(); i++) {
            result[str.charAt(i) - 'a']++;
        }

        return result;
    }

    static int findRequiredLength(String str, int start, int[] requiredCounts, int nonZeroCounts) {
        for (int i = start; i < str.length(); i++) {
            int charAsInt = str.charAt(i) - 'a';
            requiredCounts[charAsInt]--;

            if (requiredCounts[charAsInt] == 0) {
                nonZeroCounts--;
            }

            if (nonZeroCounts == 0) {
                return i - start + 1;
            }
        }

        return -1;
    }
    
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(minWindowSubstring(s.nextLine())); 
  }   
  
}",9,0,Male,1,3,3,0,0,4,10,0,6,172,"'requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt''requiredCounts''nonZeroCounts''minLen''start''requiredCountsClone''result''result', 'result''charAsInt', 'charAsInt'"
14,exxd5o,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/exxd5o.jpg,/profile/exxd5o,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
	public static String MinWindowSubstring(String[] strArr) {

		String str = strArr[0];
		String result = null;
		int length_min = Integer.MAX_VALUE;
		for (int i = 0; i < strArr[0].length(); i++) {
			for (int j = i; j < strArr[0].length(); j++) {
				if (checker(str.substring(i, j + 1), strArr[1])) {
					if (str.substring(i, j + 1).length() < length_min) {
						length_min = str.substring(i, j + 1).length();
						result = str.substring(i, j + 1);
					}
				}
			}
		}

		return result;
	}

	public static boolean checker(String s, String s2) {
		StringBuilder sb = new StringBuilder(s);
		int a = s.length();
		char[] ch_2 = s2.toCharArray();
		for (char c : ch_2) {
			if (s.contains(String.valueOf(c))) {
				s = s.replaceFirst(String.valueOf(c), """");
			}
		}
		return a - s2.length() == s.length() ? true : false;
	}
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }   
  
}",10,0,Male,1,4,3,0,0,2,7,0,1,146,"'str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2''str''result''length_min''sb', 'sb''a''ch_2'"
15,debasisdwivedy,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/debasisdwivedy.jpg,/profile/debasisdwivedy,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
  public static String MinWindowSubstring(String[] strArr) { 
  
    // code goes here   
    /* Note: In Java the return type of a function and the 
       parameter types being passed are defined, so this return 
       call must match the return type of the function.
       You are free to modify the return type. */
    String str1= strArr[0];  
    String str2= strArr[1];
    int len=Integer.MAX_VALUE;
    String res="""";
    char[] ch=str2.toCharArray();
    Arrays.sort(ch);
    for(int i=0;i<str1.length();i++)
    {
         String s=str1.substring(i);
            int k=s.length();
            while(k>=0)
            {
                if(containsAll(s.substring(0,k),ch))
                {
                    if(len>k)
                    {
                        len=k;
                        res=s.substring(0,k);
                        //System.out.println(s);
                    }
                }
                k--;
            }
            
    }
    return res;
    
  }
  
  public static boolean containsAll(String str1,char[] ch2)
  {
      char[] ch1=str1.toCharArray();
      
      Arrays.sort(ch1);
      int i=0;
      int j=0;
      int count=0;
      while(i<ch1.length && j<ch2.length)
      {
          if(ch1[i]==ch2[j])
          {
              count++;
              i++;
              j++;
          }
          else if(ch1[i]<ch2[j])
          {
              i++;
          }
          else
          {
              j++;
          }
      }
      if(count==ch2.length)
      {
          return true;
      }
      else
      {
          return false;
      }
  }
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }   
  
}",10,0,Female,4,16,2,4,0,6,0,0,0,161,
18,DeviousBard,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/DeviousBard.jpg,/profile/DeviousBard,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {  
    public static String MinWindowSubstring(String[] strArr) {
        String[] strLetters = strArr[0].split(""(?<=[a-z])"");
        String[] subLetters = strArr[1].split(""(?<=[a-z])"");
        Arrays.sort(subLetters);
        int minWindowLen = Integer.MAX_VALUE;
        String minWindowStr = """";
        for (int i = 0; i < strLetters.length - subLetters.length + 1; i++) {
            for (int j = i + subLetters.length - 1; j < strLetters.length; j++) {
                String[] testSubWindowLetters = Arrays.copyOfRange(strLetters, i, j + 1);
                String testSubWindow = Arrays.toString(testSubWindowLetters).replaceAll(""[^a-z]"", """");
                Arrays.sort(testSubWindowLetters);
                int k = 0;
                int m = 0;
                int count = 0;
                while (k < testSubWindowLetters.length && m < subLetters.length) {
                    if (testSubWindowLetters[k].charAt(0) == subLetters[m].charAt(0)) {
                        k++;
                        m++;
                        count++;
                    } else if (testSubWindowLetters[k].charAt(0) < subLetters[m].charAt(0)) {
                        k++;
                    } else {
                        m++;
                    }
                }
                if (count == subLetters.length) {
                    if (testSubWindow.length() < minWindowLen) {
                        minWindowLen = testSubWindow.length();
                        minWindowStr = testSubWindow;
                    }
                }
            }
        }
        return minWindowStr;
    }
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }   
  
}",10,0,Female,1,8,2,1,0,1,9,0,4,155,'strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count'
23,leandrocs,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/leandrocs.jpg,/profile/leandrocs,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
    String shortest = strArr[0];
    for(int i=0; i<strArr[0].length()-1; i++){
      for(int j=i; j<strArr[0].length(); j++){
        String orig       = strArr[0].substring(i,j+1);
        StringBuilder str = new StringBuilder(orig);
        StringBuilder src = new StringBuilder(strArr[1]);
        for(int k=0; k<strArr[1].length(); k++){
          int pos = str.indexOf(Character.toString(strArr[1].charAt(k)));
          if(pos == -1) break;
          else {
            str.setCharAt(pos, '0');
            src.deleteCharAt(0);
          }
        }
        if(src.length() == 0){
          if(orig.length() < shortest.length()){
            shortest = orig;
          }
        }
      }
    } 
    return shortest;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",10,-1,Male,1,8,6,0,0,1,7,0,1,94,"'shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos''shortest''orig''str', 'str''src', 'src''pos'"
25,aymanrh,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/aymanrh.jpg,/profile/aymanrh,Min Window Substring,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static String MinWindowSubstring(String[] strArr) {
       String[] strLetters = strArr[0].split(""(?<=[a-z])"");
        String[] subLetters = strArr[1].split(""(?<=[a-z])"");
        Arrays.sort(subLetters);
        int minWindowLen = Integer.MAX_VALUE;
        String minWindowStr = """";
        for (int i = 0; i < strLetters.length - subLetters.length + 1; i++) {
            for (int j = i + subLetters.length - 1; j < strLetters.length; j++) {
                String[] testSubWindowLetters = Arrays.copyOfRange(strLetters, i, j + 1);
                String testSubWindow = Arrays.toString(testSubWindowLetters).replaceAll(""[^a-z]"", """");
                Arrays.sort(testSubWindowLetters);
                int k = 0;
                int m = 0;
                int count = 0;
                while (k < testSubWindowLetters.length && m < subLetters.length) {
                    if (testSubWindowLetters[k].charAt(0) == subLetters[m].charAt(0)) {
                        k++;
                        m++;
                        count++;
                    } else if (testSubWindowLetters[k].charAt(0) < subLetters[m].charAt(0)) {
                        k++;
                    } else {
                        m++;
                    }
                }
                if (count == subLetters.length) {
                    if (testSubWindow.length() < minWindowLen) {
                        minWindowLen = testSubWindow.length();
                        minWindowStr = testSubWindow;
                    }
                }
            }
        }
        return minWindowStr;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(MinWindowSubstring(s.nextLine())); 
  }

}",10,0,Male,1,8,2,1,0,1,9,0,4,155,'strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count''strLetters''subLetters''minWindowLen''minWindowStr''testSubWindowLetters''testSubWindow''k''m''count'
