,User_Name,User_img,User_url,Challange_Name,Programming_Lang,Sol_Code,User_Score,User's_Comments,User_Gender,Name_or_Image,Comments,Conditions,For,While,Func dec,Varibales Dec,Comments length,code length,Variables Names,Num_of_Lines,Lines_ave_len,Vars_ave_len,num_of_cases_uses
0,omegatau,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/omegatau.jpg,/profile/omegatau,Bracket Combinations,Java,"import java.util.*;
import java.io.*;

class Main {
  public static int BracketCombinations(int inputPairNumber) {
    ArrayList<String> listOfValidBracketsCombinations = new ArrayList<>(); 
    
    generateAllValidBracketsForms(listOfValidBracketsCombinations, inputPairNumber, 0, """");
    
    return listOfValidBracketsCombinations.size();
  } 
  
  static void generateAllValidBracketsForms(ArrayList<String> listOfValidBracketsCombinations, 
                                              int leftBracketsNumber, int rightBracketsNumber, String bracketCombination) {
    if((leftBracketsNumber == 0) && (rightBracketsNumber == 0)) {
      listOfValidBracketsCombinations.add(bracketCombination); 
      return; 
    }

    if(leftBracketsNumber > 0) 
      generateAllValidBracketsForms(listOfValidBracketsCombinations, leftBracketsNumber - 1, rightBracketsNumber + 1, bracketCombination + ""(""); 
      
    if(rightBracketsNumber > 0) 
      generateAllValidBracketsForms(listOfValidBracketsCombinations, leftBracketsNumber, rightBracketsNumber - 1, bracketCombination + "")"");
  }
  
  public static void main (String[] args) {
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine()));
  }
}",15,0,0,0,1237,3,0,0,4,1,0,87," 'leftBracketsNumber,'",31,0,18,1
1,nickpick41,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/nickpick41.jpg,/profile/nickpick41,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static int BracketCombinations(int num) {
   String strVal = """";

        for ( int i = 0; i < num; i++){
            strVal += ""()"";
        }

        Stack<String> processor = new Stack<>();
        processor.push(strVal);
        Set<String> combinations = new HashSet<>();

        loop1:
        while ( !processor.isEmpty() ){

            String combination = processor.pop();


            for ( int i = 0; i < combination.length(); i++){
                if ( combination.charAt(i) == ')' ){
                    for ( int j = i; j < combination.length(); j++){

                        if ( combination.charAt(j) == '('){
                            StringBuilder builder = new StringBuilder(combination);
                            builder.insert(j+1,"")"");
                            builder.delete(i,i+1);
                            combinations.add(builder.toString());
                            processor.push(builder.toString());
                        }
                    }
                }
            }

        }
        return (combinations.size()+1);
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }

}",9,0,1,1,1340,2,3,1,2,2,6,120, 'strVal' 'combination',48,0,8,1
2,moe123,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/moe123.jpg,/profile/moe123,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {  
    
    static int[][] dp;
    static int n, m;
    
    public static int solve(int i, int b) {
        if (i == n-1) {
            return b == 0 ? 1 : 0;
        }
        if (dp[i][b] != -1) {
            return dp[i][b];
        }
        if (b==0) {
            return dp[i][b] = solve(i+1, b+1);
        }
        return dp[i][b] = solve(i+1, b+1) + solve(i+1, b-1);
    }
  public static int BracketCombinations(int num) { 
  
    // code goes here   
    /* Note: In Java the return type of a function and the 
       parameter types being passed are defined, so this return 
       call must match the return type of the function.
       You are free to modify the return type. */
       n = num*2 +1;
       m = num+1;
       dp = new int[n][n];
       for (int[] d : dp) {
           Arrays.fill(d, -1);
       }
       return solve(0, 0);
       

    
  } 
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }   
  
}",15,0,0,0,1126,4,1,0,10,0,22,156,,46,0,0,0
3,Dreamhound,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Dreamhound.jpg,/profile/Dreamhound,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {  
  public static int BracketCombinations(int num) { //Brute force style!
        int possibleCombinations = (int) Math.pow(2,num*2);
        String combination;
        int validCombinations = 0;
        int parenthesesCounter;
        boolean isValidCombination;
        for(int i = 0; i < possibleCombinations; i++){
            combination = ""00000000000000000000000000000000000000"" + Integer.toBinaryString(i);
            combination = combination.substring(combination.length()-num*2);
            combination = combination.replace('0','(').replace('1',')');
            parenthesesCounter = 0;
            isValidCombination = true;
            for(int j = 0; j < combination.length(); j++){
                if(combination.charAt(j) == '('){
                    parenthesesCounter++;
                }
                else{
                    parenthesesCounter--;
                }
                if(parenthesesCounter < 0){
                    isValidCombination = false;
                    break;
                }
            }
            if(parenthesesCounter != 0){
                isValidCombination = false;
            }
            if(isValidCombination){
                validCombinations++;
            }
        }
        return validCombinations;
    } 
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }   
  
}",15,0,0,0,1533,5,3,0,2,5,15,116, 'possibleCombinations' 'combination;' 'validCombinations' 'parenthesesCounter;' 'isValidCombination;',45,0,16,4
4,exxd5o,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/exxd5o.jpg,/profile/exxd5o,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {  
	public static int count = 0;

	public static int BracketCombinations(int num) {
		char[] str = new char[2 * num];
		printParenthesis(str, num);
		return count;
	}

	static void _printParenthesis(char str[], int pos, int n, int open, int close) {
		if (close == n) {
			count++;
			return;
		} else {
			if (open > close) {
				str[pos] = '}';
				_printParenthesis(str, pos + 1, n, open, close + 1);
			}
			if (open < n) {

				str[pos] = '{';
				_printParenthesis(str, pos + 1, n, open + 1, close);
			}
		}
	}

	static void printParenthesis(char str[], int n) {
		if (n > 0)
			_printParenthesis(str, 0, n, 0, 0);
		return;
	}
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }   
  
}",14,0,0,0,887,5,0,0,6,0,6,131,,42,0,0,0
5,arjnklc,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/arjnklc.jpg,/profile/arjnklc,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {  
	public static int BracketCombinations(int num) {
		System.out.println(factorial(num * 2));
		System.out.println((factorial(num + 1) * factorial(num)));
		return (int)(factorial(num * 2) / (factorial(num + 1) * factorial(num)));

	}

	public static double factorial(int n) {
		double fact = 1; // this will be the result
		for (int i = 1; i <= n; i++) {
			fact *= i;
		}
		return fact;
	} 
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }   
  
}",15,0,0,0,646,0,1,0,3,1,16,86, 'fact',26,0,4,0
6,Sharah,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Sharah.jpg,/profile/Sharah,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {

  public static int BracketCombinations(int num) {
    return generateMatchedParanthesis(num, num, 0);
  }

  public static int generateMatchedParanthesis(int openCount, int closedCount, int currentCombinationCount) {
    if(openCount == 0 && closedCount ==0) {
      return currentCombinationCount + 1;
    }
    int leftSubtree =0, rightSubtree=0;
    if(openCount > 0) {
      leftSubtree = generateMatchedParanthesis(openCount - 1, closedCount, currentCombinationCount);
    }
    if(closedCount > openCount) {
      rightSubtree = generateMatchedParanthesis(openCount, closedCount - 1, currentCombinationCount);
    }
    return currentCombinationCount + leftSubtree + rightSubtree;
  }

  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }

}",15,-1,1,0,939,3,0,0,4,1,6,96, 'leftSubtree',30,0,11,1
7,DeviousBard,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/DeviousBard.jpg,/profile/DeviousBard,Bracket Combinations,Java,"import java.util.*; 
import java.io.*;

class Main {  
    public static int BracketCombinations(int num) {
        return (int)(factorial((long)num * 2) / (factorial((long)(num + 1)) * factorial((long)num)));
    }

    private static long factorial(long num) {
        if (num <= 1L) {
            return 1L;
        }
        return num * factorial(num - 1);
    }
  
  public static void main (String[] args) {  
    // keep this function call here     
    Scanner s = new Scanner(System.in);
    System.out.print(BracketCombinations(s.nextLine())); 
  }   
  
}",15,-1,1,0,568,1,0,0,4,0,6,66,,22,0,0,0
8,Abdo0o,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/Abdo0o.jpg,/profile/Abdo0o,Bracket Combinations,JavaScript,"function BracketCombinations(num) { 
  // By Doing sum search i found a formula that can achieve what this problem want
  // called Catalan number (Catalan Formula)
  // where catalan formula is ==> (2n!) / (n+1)! n!

  // first i will calculate the factorial of the num
  let factorial = (n) => {
    let k = 1;
    for(var i = n; i >= 1; i--){
      k *= i;
    }
    return k;
  }
  
  // formula going down
  const result = (factorial(2 * num)) / ((factorial(num + 1)) * (factorial(num)));
  return result; 
}
   
// keep this function call here 
console.log(BracketCombinations(readline()));",15,14,0,0,597,0,4,0,2,6,52,96," 'let', 'factorial' 'let', 'k' 'k' 'const'",21,0,3,0
9,ricochen,https://s3-us-west-1.amazonaws.com/coderbyteprofiles/ricochen.jpg,/profile/ricochen,Bracket Combinations,JavaScript,"function BracketCombinations(num) {
  let combos = 0;
  
  (function inner(left, right, str) {
    if (left === 0 && right === 0) {
      // combos.push(str);
      combos++;
    }
    
    if (left > 0) {
      inner(left - 1, right + 1, str + '(');
    }
    
    if (right > 0) {
      inner(left, right - 1, str + ')');
    }
  })(num, 0, '');
  return combos;
}
   
// keep this function call here 
BracketCombinations(readline());",15,2,0,0,437,3,0,0,3,2,8,66," 'let', 'combos'",22,0,4,0
